City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guerrero Negro,27.9769,-114.0611,broken clouds,65.3,69,81,8.15,MX,2022-05-16 16:57:42
1,New Norfolk,-42.7826,147.0587,broken clouds,47.7,63,66,3.98,AU,2022-05-16 16:57:43
2,Kodiak,57.79,-152.4072,scattered clouds,43.7,61,27,2.41,US,2022-05-16 16:57:43
3,Hobart,-42.8794,147.3294,scattered clouds,48.1,87,40,5.66,AU,2022-05-16 16:57:10
4,Katherine,-14.4667,132.2667,clear sky,77.3,50,0,2.57,AU,2022-05-16 16:57:44
5,Mataura,-46.1927,168.8643,moderate rain,55.5,98,77,0.73,NZ,2022-05-16 16:57:45
6,Lahaina,20.8783,-156.6825,scattered clouds,76.8,79,46,1.69,US,2022-05-16 16:57:46
7,Butaritari,3.0707,172.7902,overcast clouds,81.3,71,97,7.77,KI,2022-05-16 16:57:46
8,Saldanha,-33.0117,17.9442,scattered clouds,82.5,46,47,4.29,ZA,2022-05-16 16:57:47
9,Puerto Ayora,-0.7393,-90.3518,broken clouds,80.6,89,74,1.34,EC,2022-05-16 16:55:56
10,Bambous Virieux,-20.3428,57.7575,scattered clouds,75.5,73,40,5.14,MU,2022-05-16 16:55:08
11,Portland,45.5234,-122.6762,overcast clouds,60.8,70,100,2.24,US,2022-05-16 16:57:48
12,Tiksi,71.6872,128.8694,light snow,19.0,95,100,5.39,RU,2022-05-16 16:57:49
13,Shushtar,32.0455,48.8567,clear sky,100.3,11,0,5.53,IR,2022-05-16 16:57:50
14,Yellowknife,62.456,-114.3525,broken clouds,45.1,61,75,6.17,CA,2022-05-16 16:57:50
15,Capinopolis,-18.6819,-49.5697,overcast clouds,70.9,74,98,4.33,BR,2022-05-16 16:57:51
16,Port-Gentil,-0.7193,8.7815,scattered clouds,84.2,84,40,4.63,GA,2022-05-16 16:57:52
17,Hamilton,39.1834,-84.5333,few clouds,74.7,58,21,2.68,US,2022-05-16 16:53:28
18,Berlevag,70.8578,29.0864,broken clouds,37.4,70,75,9.77,NO,2022-05-16 16:57:53
19,Kapoeta,4.7717,33.5903,scattered clouds,85.2,36,49,4.07,SS,2022-05-16 16:57:54
20,Kaitangata,-46.2817,169.8464,broken clouds,51.8,81,68,1.84,NZ,2022-05-16 16:57:55
21,Pangnirtung,66.1451,-65.7125,few clouds,24.8,80,20,2.57,CA,2022-05-16 16:57:55
22,Vanimo,-2.6741,141.3028,broken clouds,78.9,85,59,1.42,PG,2022-05-16 16:57:56
23,Kavieng,-2.5744,150.7967,broken clouds,81.0,76,71,3.52,PG,2022-05-16 16:57:57
24,Cidreira,-30.1811,-50.2056,clear sky,58.3,58,6,8.65,BR,2022-05-16 16:57:57
25,Rikitea,-23.1203,-134.9692,scattered clouds,77.3,68,44,8.87,PF,2022-05-16 16:57:58
26,Epe,6.5841,3.9834,light rain,84.4,75,99,3.88,NG,2022-05-16 16:58:00
27,Bluff,-46.6,168.3333,overcast clouds,55.8,81,98,7.48,NZ,2022-05-16 16:58:00
28,Lebu,-37.6167,-73.65,clear sky,61.0,44,6,1.61,CL,2022-05-16 16:58:01
29,Ushuaia,-54.8,-68.3,clear sky,47.9,61,0,2.57,AR,2022-05-16 16:58:02
30,Bluefields,12.0137,-83.7635,scattered clouds,77.1,100,40,2.06,NI,2022-05-16 16:58:02
31,Bubaque,11.2833,-15.8333,broken clouds,79.9,82,60,5.71,GW,2022-05-16 16:58:03
32,Katsuura,35.1333,140.3,overcast clouds,58.3,95,100,6.09,JP,2022-05-16 16:58:04
33,Punta Arenas,-53.15,-70.9167,clear sky,41.0,87,0,3.09,CL,2022-05-16 16:53:37
34,Alta Floresta,-9.8756,-56.0861,broken clouds,94.8,52,75,2.06,BR,2022-05-16 16:58:05
35,Adre,13.4667,22.2,overcast clouds,86.8,35,89,6.63,TD,2022-05-16 16:58:06
36,Hermanus,-34.4187,19.2345,scattered clouds,69.5,43,45,1.11,ZA,2022-05-16 16:58:06
37,Barrow,71.2906,-156.7887,overcast clouds,14.1,91,97,5.21,US,2022-05-16 16:58:07
38,Khartoum,15.5518,32.5324,clear sky,104.0,12,0,2.74,SD,2022-05-16 16:58:08
39,Boyolangu,-8.1181,111.8935,broken clouds,75.5,88,69,0.26,ID,2022-05-16 16:58:08
40,Port Elizabeth,-33.918,25.5701,clear sky,74.1,83,0,3.6,ZA,2022-05-16 16:57:09
41,Vila Franca Do Campo,37.7167,-25.4333,broken clouds,63.0,63,60,6.96,PT,2022-05-16 16:58:09
42,Hirara,24.8,125.2833,overcast clouds,70.1,86,100,10.43,JP,2022-05-16 16:58:10
43,Horsham,51.064,-0.3272,few clouds,69.0,73,20,7.2,GB,2022-05-16 16:58:11
44,Bethel,41.3712,-73.414,broken clouds,81.4,77,75,5.14,US,2022-05-16 16:58:11
45,Yerbogachen,61.2767,108.0108,few clouds,46.5,81,16,2.45,RU,2022-05-16 16:59:12
46,Kapaa,22.0752,-159.319,light rain,73.4,95,57,0.45,US,2022-05-16 16:59:13
47,Albany,42.6001,-73.9662,broken clouds,81.0,65,61,1.34,US,2022-05-16 16:59:14
48,Jamestown,42.097,-79.2353,light rain,56.0,96,100,4.12,US,2022-05-16 16:59:14
49,Avera,33.194,-82.5271,few clouds,88.4,40,13,4.28,US,2022-05-16 16:59:15
50,Dzhebariki-Khaya,62.2167,135.8,overcast clouds,36.0,70,100,2.0,RU,2022-05-16 16:59:16
51,Ledyard,41.4398,-72.0142,scattered clouds,83.4,77,40,4.12,US,2022-05-16 16:59:17
52,Upernavik,72.7868,-56.1549,broken clouds,19.9,78,67,4.15,GL,2022-05-16 16:59:17
53,Petropavlovsk-Kamchatskiy,53.0452,158.6483,mist,30.8,100,100,1.0,RU,2022-05-16 16:59:18
54,Dalbandin,28.8947,64.4101,clear sky,85.6,12,0,5.02,PK,2022-05-16 16:59:19
55,Tigil,57.8,158.6667,light rain,40.5,84,100,2.1,RU,2022-05-16 16:59:19
56,San Patricio,28.017,-97.5169,clear sky,90.9,33,3,5.5,US,2022-05-16 16:59:20
57,Fortuna,40.5982,-124.1573,overcast clouds,56.9,94,100,6.17,US,2022-05-16 16:59:21
58,Acapulco,16.8634,-99.8901,scattered clouds,88.5,49,49,3.58,MX,2022-05-16 16:55:23
59,Yenagoa,4.9247,6.2642,moderate rain,80.7,86,93,2.23,NG,2022-05-16 16:59:22
60,Saint-Francois,46.4154,3.9054,clear sky,78.2,44,0,1.54,FR,2022-05-16 16:59:23
61,Ribeira Grande,38.5167,-28.7,few clouds,61.2,63,20,9.77,PT,2022-05-16 16:59:24
62,Souillac,-20.5167,57.5167,scattered clouds,75.6,73,40,5.14,MU,2022-05-16 16:59:24
63,Vardo,70.3705,31.1107,broken clouds,37.4,81,75,12.35,NO,2022-05-16 16:59:25
64,Port Hedland,-20.3167,118.5667,broken clouds,69.9,83,75,6.17,AU,2022-05-16 16:59:26
65,Hovd,48.0056,91.6419,overcast clouds,58.2,39,100,5.85,MN,2022-05-16 16:59:26
66,Busselton,-33.65,115.3333,broken clouds,60.3,65,82,4.87,AU,2022-05-16 16:59:27
67,Bredasdorp,-34.5322,20.0403,clear sky,68.0,27,0,1.48,ZA,2022-05-16 16:57:04
68,Vaini,-21.2,-175.2,few clouds,70.0,73,20,2.57,TO,2022-05-16 16:59:28
69,East London,-33.0153,27.9116,clear sky,68.9,88,0,3.09,ZA,2022-05-16 16:59:29
70,Baykit,61.67,96.37,light rain,52.9,88,94,1.85,RU,2022-05-16 16:59:30
71,Kavaratti,10.5669,72.642,overcast clouds,81.7,78,100,8.94,IN,2022-05-16 16:59:30
72,Hilo,19.7297,-155.09,overcast clouds,78.3,89,100,2.24,US,2022-05-16 16:55:04
73,Port Keats,-14.25,129.55,clear sky,74.6,83,1,1.4,AU,2022-05-16 16:59:31
74,Turayf,31.6725,38.6637,clear sky,82.7,21,0,5.14,SA,2022-05-16 16:59:27
75,Asau,46.4333,26.4,overcast clouds,68.9,82,95,1.21,RO,2022-05-16 16:59:32
76,Atuona,-9.8,-139.0333,clear sky,78.4,70,5,7.38,PF,2022-05-16 16:59:33
77,Poitiers,46.5833,0.3333,clear sky,79.2,44,0,3.09,FR,2022-05-16 16:57:46
78,Hithadhoo,-0.6,73.0833,broken clouds,83.3,77,79,6.67,MV,2022-05-16 16:59:34
79,Atar,20.5169,-13.0499,scattered clouds,107.3,8,48,8.77,MR,2022-05-16 16:59:35
80,Camana,-16.6228,-72.7111,few clouds,69.8,70,18,5.09,PE,2022-05-16 16:59:35
81,Batagay-Alyta,67.8006,130.4114,broken clouds,4.4,97,71,2.47,RU,2022-05-16 16:59:36
82,Gubkinskiy,64.434,76.5026,overcast clouds,56.6,63,90,4.54,RU,2022-05-16 16:59:37
83,Clyde River,70.4692,-68.5914,few clouds,26.8,86,20,1.03,CA,2022-05-16 16:59:37
84,Mahebourg,-20.4081,57.7,scattered clouds,75.5,73,40,5.14,MU,2022-05-16 16:59:38
85,Caravelas,-17.7125,-39.2481,broken clouds,83.9,65,72,2.09,BR,2022-05-16 16:59:39
86,Florianopolis,-27.6146,-48.5012,scattered clouds,68.6,63,40,3.09,BR,2022-05-16 16:59:00
87,Litomysl,49.8681,16.313,broken clouds,76.5,69,70,2.06,CZ,2022-05-16 16:59:40
88,Meulaboh,4.1363,96.1285,overcast clouds,78.8,85,100,1.23,ID,2022-05-16 16:59:40
89,Richards Bay,-28.783,32.0377,clear sky,66.7,82,0,2.99,ZA,2022-05-16 16:59:41
90,Khani,41.9563,42.9566,broken clouds,51.4,95,75,1.06,GE,2022-05-16 17:00:42
91,Nikolskoye,59.7035,30.7861,overcast clouds,49.9,83,100,3.83,RU,2022-05-16 17:00:42
92,Port Alfred,-33.5906,26.891,clear sky,67.2,79,0,5.61,ZA,2022-05-16 17:00:43
93,Ponta Do Sol,32.6667,-17.1,clear sky,72.2,71,0,3.38,PT,2022-05-16 17:00:44
94,Cabo San Lucas,22.8909,-109.9124,overcast clouds,88.6,50,98,4.49,MX,2022-05-16 17:00:04
95,Kirakira,-10.4544,161.9205,overcast clouds,78.2,85,99,1.77,SB,2022-05-16 17:00:45
96,Camacha,33.0833,-16.3333,scattered clouds,67.4,78,40,4.63,PT,2022-05-16 17:00:45
97,Bilibino,68.0546,166.4372,overcast clouds,30.2,96,100,0.41,RU,2022-05-16 17:00:46
98,Ahipara,-35.1667,173.1667,scattered clouds,63.7,95,48,3.05,NZ,2022-05-16 17:00:46
99,Cagliari,39.245,9.0912,clear sky,78.0,55,0,5.14,IT,2022-05-16 17:00:47
100,Castro,-24.7911,-50.0119,broken clouds,60.3,63,82,3.4,BR,2022-05-16 17:00:48
101,Iqaluit,63.7506,-68.5145,overcast clouds,25.7,79,100,5.81,CA,2022-05-16 17:00:48
102,Tiarei,-17.5333,-149.3333,scattered clouds,80.6,74,33,7.4,PF,2022-05-16 17:00:49
103,Qaanaaq,77.484,-69.3632,scattered clouds,24.2,74,33,2.16,GL,2022-05-16 17:00:50
104,Broome,42.2506,-75.833,broken clouds,75.7,71,66,3.13,US,2022-05-16 17:00:50
105,Shawnee,39.05,-95.7669,clear sky,76.9,47,0,0.45,US,2022-05-16 16:59:06
106,Broken Hill,-31.95,141.4333,clear sky,52.4,65,0,3.01,AU,2022-05-16 17:00:51
107,Weligama,5.9667,80.4167,overcast clouds,79.0,89,100,6.36,LK,2022-05-16 17:00:52
108,Cape Town,-33.9258,18.4232,clear sky,79.2,34,0,3.6,ZA,2022-05-16 16:56:31
109,Jishou,28.3167,109.7167,overcast clouds,60.7,80,89,0.5,CN,2022-05-16 17:00:53
110,Longyearbyen,78.2186,15.6401,broken clouds,30.0,80,75,3.6,SJ,2022-05-16 17:00:54
111,Ladario,-19.0047,-57.6017,overcast clouds,66.7,58,100,3.24,BR,2022-05-16 17:00:55
112,Barra Do Garcas,-15.89,-52.2567,few clouds,88.4,43,18,2.97,BR,2022-05-16 16:57:30
113,Pingdingshan,33.7385,113.3012,clear sky,64.1,38,0,2.55,CN,2022-05-16 17:00:19
114,Sao Joao Da Barra,-21.6403,-41.0511,overcast clouds,81.5,59,100,2.14,BR,2022-05-16 17:00:56
115,Lorengau,-2.0226,147.2712,overcast clouds,80.2,75,95,2.17,PG,2022-05-16 17:00:57
116,Lagoa,39.05,-27.9833,light rain,56.9,66,14,12.52,PT,2022-05-16 17:00:57
117,Kahului,20.8947,-156.47,scattered clouds,76.8,77,42,3.15,US,2022-05-16 17:00:58
118,Lompoc,34.6391,-120.4579,mist,65.6,86,100,9.26,US,2022-05-16 17:00:59
119,Inza,53.8533,46.3586,light rain,48.7,90,100,5.16,RU,2022-05-16 17:01:00
120,Riyadh,24.6877,46.7219,clear sky,96.9,6,0,3.61,SA,2022-05-16 16:59:36
121,Saint-Philippe,-21.3585,55.7679,light rain,73.0,81,99,5.61,RE,2022-05-16 17:01:01
122,Adrar,20.5022,-10.0711,clear sky,105.5,6,6,7.61,MR,2022-05-16 17:01:01
123,Avarua,-21.2078,-159.775,light rain,76.9,77,86,6.93,CK,2022-05-16 17:01:02
124,Saskylakh,71.9167,114.0833,overcast clouds,24.0,90,100,2.93,RU,2022-05-16 17:01:03
125,Moron,-34.6534,-58.6198,broken clouds,60.0,68,84,6.26,AR,2022-05-16 17:01:03
126,Svecha,58.2785,47.5164,broken clouds,46.5,91,81,2.36,RU,2022-05-16 17:01:04
127,Norman Wells,65.282,-126.8329,overcast clouds,44.2,72,85,1.18,CA,2022-05-16 17:01:05
128,Georgetown,5.4112,100.3354,light rain,80.5,83,20,1.54,MY,2022-05-16 17:01:05
129,Torbay,47.6666,-52.7314,broken clouds,48.9,75,82,2.68,CA,2022-05-16 17:01:06
130,Kapatalan,14.4741,121.4903,overcast clouds,75.4,95,100,1.18,PH,2022-05-16 17:01:07
131,Chuy,-33.6971,-53.4616,broken clouds,57.7,68,56,8.03,UY,2022-05-16 17:01:07
132,Requena,39.4883,-1.1004,broken clouds,70.5,25,62,2.61,ES,2022-05-16 16:58:08
133,Brownsville,25.9018,-97.4975,clear sky,87.9,63,0,3.13,US,2022-05-16 16:57:57
134,Jambi,-1.6,103.6167,overcast clouds,74.4,99,99,1.67,ID,2022-05-16 17:00:19
135,Kloulklubed,7.0419,134.2556,clear sky,84.1,73,5,6.26,PW,2022-05-16 17:01:09
136,Sabae,35.9465,136.185,overcast clouds,57.3,76,100,1.29,JP,2022-05-16 17:01:10
137,Santa Engracia,41.9406,-1.3245,broken clouds,86.1,27,53,2.4,ES,2022-05-16 17:01:11
138,Quibdo,5.6947,-76.6611,overcast clouds,86.4,71,89,1.59,CO,2022-05-16 17:02:12
139,Naryan-Mar,67.6713,53.087,overcast clouds,34.8,93,100,5.97,RU,2022-05-16 17:02:12
140,Mawlaik,23.6333,94.4167,broken clouds,75.1,94,82,0.31,MM,2022-05-16 17:02:13
141,Henties Bay,-22.116,14.2845,clear sky,68.4,54,0,3.87,NA,2022-05-16 17:02:14
142,Port Hardy,50.6996,-127.4199,light rain,48.4,66,75,4.12,CA,2022-05-16 17:02:14
143,San Mateo Del Mar,16.2,-95.0,clear sky,89.6,47,6,8.64,MX,2022-05-16 17:02:15
144,Fare,-16.7,-151.0167,light rain,80.2,72,49,4.48,PF,2022-05-16 17:02:16
145,Kearney,40.6995,-99.0815,clear sky,74.0,45,3,4.47,US,2022-05-16 16:59:28
146,Tselinnoye,53.0833,85.6667,broken clouds,60.6,59,78,3.32,RU,2022-05-16 17:02:17
147,Chernyy Yar,48.0624,46.1091,broken clouds,57.4,52,55,4.88,RU,2022-05-16 17:02:17
148,Aswan,24.0934,32.907,overcast clouds,93.3,7,88,9.63,EG,2022-05-16 17:02:18
149,Mahuva,21.0914,71.7622,clear sky,87.4,53,1,6.96,IN,2022-05-16 17:02:19
150,Chapais,49.7834,-74.8492,overcast clouds,63.9,41,100,3.76,CA,2022-05-16 17:02:19
151,Kizukuri,40.8061,140.3861,overcast clouds,49.1,74,98,1.45,JP,2022-05-16 17:02:20
152,Pevek,69.7008,170.3133,overcast clouds,27.7,80,100,1.42,RU,2022-05-16 17:02:21
153,Guia Lopes Da Laguna,-21.4578,-56.1142,broken clouds,67.5,52,67,3.82,BR,2022-05-16 17:02:21
154,Mar Del Plata,-38.0023,-57.5575,light rain,53.0,83,100,3.58,AR,2022-05-16 17:02:22
155,Taoudenni,22.6783,-3.9836,clear sky,107.3,5,0,7.53,ML,2022-05-16 17:02:23
156,Jerez,14.1,-89.75,broken clouds,87.3,29,84,2.95,GT,2022-05-16 17:02:24
157,Slave Lake,55.2834,-114.769,haze,57.2,44,75,5.66,CA,2022-05-16 17:02:25
158,Matagami,49.7502,-77.6328,overcast clouds,65.0,36,100,2.29,CA,2022-05-16 17:02:26
159,Luderitz,-26.6481,15.1594,clear sky,71.4,33,2,0.79,NA,2022-05-16 17:02:26
160,Lavrentiya,65.5833,-171.0,broken clouds,20.0,82,59,2.11,RU,2022-05-16 17:02:27
161,Nelson Bay,-32.7167,152.15,clear sky,61.0,88,0,6.06,AU,2022-05-16 17:02:28
162,Bandarbeyla,9.4942,50.8122,scattered clouds,81.9,83,46,13.33,SO,2022-05-16 17:02:29
163,Ostrovskoye,57.8057,42.2433,light rain,45.3,97,100,2.99,RU,2022-05-16 17:02:29
164,Nata,8.3333,-80.5167,overcast clouds,78.9,87,100,1.85,PA,2022-05-16 17:02:30
165,Cap Malheureux,-19.9842,57.6142,scattered clouds,75.5,71,41,1.79,MU,2022-05-16 17:01:41
166,Pilikwe,-22.799,27.1938,few clouds,60.5,64,18,2.03,BW,2022-05-16 17:02:31
167,Te Anau,-45.4167,167.7167,overcast clouds,54.3,93,97,1.84,NZ,2022-05-16 17:02:32
168,Tuktoyaktuk,69.4541,-133.0374,light snow,32.7,98,100,3.25,CA,2022-05-16 17:02:32
169,Luanda,-8.8368,13.2343,few clouds,80.6,78,20,5.14,AO,2022-05-16 16:57:40
170,Kieta,-6.2167,155.6333,few clouds,77.9,83,14,0.99,PG,2022-05-16 17:02:33
171,Upington,-28.4478,21.2561,clear sky,72.2,28,0,3.75,ZA,2022-05-16 17:02:19
172,Oistins,13.0667,-59.5333,broken clouds,81.7,77,76,9.02,BB,2022-05-16 17:02:34
173,Iquitos,-3.7481,-73.2472,light rain,80.4,90,100,0.32,PE,2022-05-16 17:02:35
174,Codrington,-38.2667,141.9667,overcast clouds,50.6,74,100,5.12,AU,2022-05-16 17:02:36
175,Provideniya,64.3833,-173.3,few clouds,30.8,77,12,2.9,RU,2022-05-16 17:02:37
176,Poronaysk,49.2167,143.1167,overcast clouds,40.8,86,99,4.23,RU,2022-05-16 17:02:38
177,Kidal,18.4411,1.4078,few clouds,103.2,12,23,6.51,ML,2022-05-16 17:02:38
178,Srednekolymsk,67.45,153.6833,overcast clouds,32.7,99,99,2.19,RU,2022-05-16 17:02:39
179,Vao,-22.6667,167.4833,few clouds,74.0,76,15,7.96,NC,2022-05-16 17:02:40
180,Longkou,37.6508,120.3286,clear sky,60.6,41,1,2.23,CN,2022-05-16 17:02:40
181,Mastic Beach,40.7668,-72.8521,overcast clouds,72.7,85,100,3.09,US,2022-05-16 17:02:41
182,Constitucion,-35.3333,-72.4167,clear sky,62.8,50,2,1.45,CL,2022-05-16 17:02:42
183,Puerto Quijarro,-17.7833,-57.7667,overcast clouds,68.6,52,100,2.36,BO,2022-05-16 17:02:42
184,Marawi,7.9986,124.2928,broken clouds,69.8,93,82,1.0,PH,2022-05-16 17:03:43
185,Saint-Pierre,-21.3393,55.4781,overcast clouds,73.1,78,100,5.66,RE,2022-05-16 17:03:44
186,Malakal,9.5334,31.6605,light rain,85.4,52,42,3.2,SS,2022-05-16 17:03:44
187,Port Said,31.2565,32.2841,overcast clouds,69.8,73,100,4.9,EG,2022-05-16 17:03:45
188,Okha,53.5739,142.9478,overcast clouds,33.2,99,100,3.49,RU,2022-05-16 17:03:46
189,Klaksvik,62.2266,-6.589,scattered clouds,52.7,87,30,10.06,FO,2022-05-16 17:03:46
190,Warangal,18.0,79.5833,few clouds,92.7,45,15,1.33,IN,2022-05-16 17:03:47
191,Cine,37.6117,28.0614,few clouds,76.4,54,19,1.65,TR,2022-05-16 17:03:49
192,Port Macquarie,-31.4333,152.9167,scattered clouds,59.9,100,40,0.0,AU,2022-05-16 17:03:49
193,Dingle,10.9995,122.6711,broken clouds,77.6,87,72,0.99,PH,2022-05-16 17:03:50
194,Shirokiy,49.758,129.523,overcast clouds,42.9,51,88,4.06,RU,2022-05-16 17:03:51
195,Vaasa,63.096,21.6158,clear sky,45.3,57,0,4.63,FI,2022-05-16 17:03:52
196,Port Lincoln,-34.7333,135.8667,overcast clouds,57.7,67,96,3.39,AU,2022-05-16 17:03:53
197,Sur,22.5667,59.5289,clear sky,87.4,39,0,4.2,OM,2022-05-16 17:03:53
198,Khrebtovaya,56.7032,104.2494,overcast clouds,53.6,75,100,3.2,RU,2022-05-16 17:03:54
199,Taman,45.2117,36.7161,few clouds,60.6,71,19,3.72,RU,2022-05-16 17:03:55
200,Kalabo,-14.97,22.6814,clear sky,65.2,45,1,2.01,ZM,2022-05-16 17:03:55
201,Linxia,35.6003,103.2064,broken clouds,51.3,47,56,1.43,CN,2022-05-16 17:03:56
202,Omsukchan,62.5333,155.8,overcast clouds,28.8,98,100,2.9,RU,2022-05-16 17:03:57
203,Lazaro Cardenas,17.9583,-102.2,overcast clouds,87.6,41,88,2.85,MX,2022-05-16 17:03:58
204,Chokurdakh,70.6333,147.9167,light snow,24.7,96,100,4.61,RU,2022-05-16 17:03:59
205,Calvinia,-31.4707,19.776,clear sky,68.1,18,0,3.21,ZA,2022-05-16 17:03:59
206,Vostok,46.4856,135.8833,scattered clouds,36.0,69,25,2.28,RU,2022-05-16 17:04:00
207,Oshkosh,44.0247,-88.5426,clear sky,71.7,41,10,6.92,US,2022-05-16 17:02:24
208,Tadine,-21.55,167.8833,broken clouds,74.9,76,59,6.15,NC,2022-05-16 17:04:02
209,Zaragoza,41.6561,-0.8773,clear sky,87.0,23,0,3.09,ES,2022-05-16 17:01:54
210,Axim,4.8699,-2.2405,broken clouds,83.2,73,78,2.87,GH,2022-05-16 17:04:04
211,Pangai,-19.8,-174.35,overcast clouds,75.7,68,99,7.78,TO,2022-05-16 17:04:05
212,Thompson,55.7435,-97.8558,scattered clouds,44.0,47,26,3.66,CA,2022-05-16 17:04:05
213,Kelvington,52.1667,-103.5343,overcast clouds,46.6,59,100,3.04,CA,2022-05-16 17:04:06
214,Vila Velha,-20.3297,-40.2925,clear sky,84.1,61,0,1.54,BR,2022-05-16 16:59:29
215,Turukhansk,65.8167,87.9833,overcast clouds,50.2,79,100,3.96,RU,2022-05-16 17:04:07
216,Carnarvon,-24.8667,113.6333,clear sky,70.9,56,0,4.54,AU,2022-05-16 17:04:08
217,Huangnihe,43.5583,128.0239,scattered clouds,42.8,72,38,1.3,CN,2022-05-16 17:04:09
218,Aklavik,68.2191,-135.0107,overcast clouds,31.8,91,100,5.93,CA,2022-05-16 17:04:10
219,Nyamati,14.15,75.5833,moderate rain,76.6,88,100,4.93,IN,2022-05-16 17:04:11
220,Khatanga,71.9667,102.5,overcast clouds,27.0,92,97,4.26,RU,2022-05-16 17:04:11
221,Shingu,33.7333,135.9833,overcast clouds,58.7,92,100,1.56,JP,2022-05-16 17:04:12
222,Redcliffe,-27.2307,153.0973,fog,71.5,94,40,0.51,AU,2022-05-16 17:04:13
223,New Albany,38.2856,-85.8241,few clouds,75.3,49,20,3.6,US,2022-05-16 17:04:13
224,Ekhabi,53.5102,142.9671,overcast clouds,33.3,99,100,3.99,RU,2022-05-16 17:04:14
225,Arraial Do Cabo,-22.9661,-42.0278,scattered clouds,76.9,73,40,4.63,BR,2022-05-16 17:04:15
226,San Carlos De Bariloche,-41.1456,-71.3082,clear sky,49.4,41,0,3.6,AR,2022-05-16 17:05:15
227,Fukuyama,34.4833,133.3667,light rain,61.9,63,100,1.14,JP,2022-05-16 17:05:16
228,Port Augusta,-32.5,137.7667,clear sky,53.5,78,0,2.04,AU,2022-05-16 17:05:17
229,Kaoma,-14.7833,24.8,few clouds,62.4,56,14,1.96,ZM,2022-05-16 17:05:18
230,Caernarfon,53.1413,-4.2702,broken clouds,62.6,46,75,6.17,GB,2022-05-16 17:05:18
